date,open,high,low,close,volume
2025-06-23,86.68,86.82,85.5,86.18,13294125
2025-06-24,85.11,85.37,84.91,85.11,6544014
2025-06-25,80.38,81.88,80.34,81.23,10544721
2025-06-26,81.08,82.41,81.06,81.7,3691563
2025-06-27,83.54,83.95,83.48,83.69,4884925
2025-06-28,85.77,86.89,83.49,85.75,17048880
2025-06-29,87.97,88.2,85.82,86.68,16284276
2025-06-30,85.56,88.26,85.47,86.91,2325494
2025-07-01,84.78,85.85,84.48,85.13,6053871
2025-07-02,87.4,87.9,86.19,87.13,1675632
2025-07-03,84.82,86.32,84.76,85.58,5749177
2025-07-04,87.41,88.13,84.37,85.84,6507582
2025-07-05,86.99,87.2,86.45,86.74,15131915
2025-07-06,85.65,87.77,85.09,86.35,15069850
2025-07-07,88.43,88.83,88.13,88.38,13634682
2025-07-08,87.84,89.14,87.47,88.28,7421985
2025-07-09,89.93,91.04,89.49,90.04,17223560
2025-07-10,89.8,91.85,87.35,89.27,17317000
2025-07-11,90.43,91.78,89.44,90.74,6578008
2025-07-12,90.82,91.25,90.53,90.9,4908733
2025-07-13,88.47,91.53,87.96,89.42,4946107
2025-07-14,88.02,88.97,87.83,88.31,11733639
2025-07-15,89.06,89.5,87.44,88.47,10197103
2025-07-16,88.53,88.98,87.44,88.37,17431408
2025-07-17,86.48,86.63,85.38,86.0,8183322
2025-07-18,85.83,85.99,85.35,85.61,19508266
2025-07-19,84.61,84.93,84.44,84.74,12412466
2025-07-20,83.51,85.94,82.32,84.04,1481608
2025-07-21,84.0,84.17,83.72,83.86,19651152
2025-07-22,84.27,84.32,83.74,84.03,16307243
2025-07-23,80.85,82.23,80.36,81.26,14948857
2025-07-24,82.32,82.94,82.08,82.62,11092830
2025-07-25,82.52,83.9,82.47,83.02,10368003
2025-07-26,81.7,83.28,81.29,82.16,4990896
2025-07-27,81.69,81.9,80.65,81.33,15379499
2025-07-28,81.08,81.6,80.99,81.32,13963554
2025-07-29,81.69,82.31,81.53,82.07,13811963
2025-07-30,81.84,82.1,81.72,81.94,5825267
2025-07-31,82.52,82.72,81.67,82.06,18173077
2025-08-01,81.97,82.31,81.78,82.05,10208174
2025-08-02,82.75,83.53,81.66,82.66,13603720
2025-08-03,82.7,83.0,82.31,82.58,1681965
2025-08-04,84.68,85.5,84.41,84.87,13451657
2025-08-05,85.6,86.2,83.97,85.12,11066470
2025-08-06,86.23,86.7,86.2,86.49,3682413
2025-08-07,85.04,85.22,84.66,84.97,11991486
2025-08-08,85.98,86.39,85.01,85.77,14386098
2025-08-09,85.05,85.56,84.95,85.3,8296006
2025-08-10,87.6,88.64,85.14,87.07,2376261
2025-08-11,89.28,89.46,88.87,89.25,15126634
2025-08-12,90.06,90.28,89.42,89.92,7889918
2025-08-13,89.02,91.84,88.71,90.2,3600822
2025-08-14,91.66,92.77,90.59,91.68,12256446
2025-08-15,94.29,95.18,92.34,93.88,19022772
2025-08-16,93.61,93.78,93.41,93.54,16039048
2025-08-17,94.04,95.05,93.82,94.25,10193706
2025-08-18,92.65,93.03,92.63,92.76,1362830
2025-08-19,92.12,93.21,92.0,92.54,15378589
2025-08-20,93.04,93.93,92.81,93.46,13332153
2025-08-21,95.22,95.85,94.78,95.2,2369106
2025-08-22,94.74,96.09,94.47,95.25,9662191
2025-08-23,95.25,95.47,94.98,95.23,10461652
2025-08-24,95.86,96.06,95.56,95.84,7372909
2025-08-25,94.64,94.89,94.26,94.53,18387797
2025-08-26,93.6,95.03,93.52,94.16,18857756
2025-08-27,93.92,95.09,93.29,94.01,6372888
2025-08-28,93.39,93.61,93.07,93.39,3361398
2025-08-29,93.58,94.04,93.0,93.42,16483292
2025-08-30,92.7,93.18,92.45,92.8,9382600
2025-08-31,93.78,94.06,91.47,92.53,12070220
2025-09-01,91.23,92.3,90.84,91.64,6880650
2025-09-02,91.77,91.88,90.92,91.44,16661762
2025-09-03,90.65,90.81,89.61,90.06,1640766
2025-09-04,91.33,92.16,91.08,91.67,13941603
2025-09-05,90.5,93.76,90.16,91.49,12524097
2025-09-06,91.39,92.59,91.38,91.88,9390547
2025-09-07,90.9,91.77,90.33,91.22,5608517
2025-09-08,89.65,90.99,89.43,90.24,6102971
2025-09-09,88.82,89.05,88.42,88.74,6561536
2025-09-10,86.88,87.39,86.47,86.91,16243903
2025-09-11,87.75,88.26,87.72,88.02,13541749
2025-09-12,88.34,88.47,86.54,87.23,11631592
2025-09-13,89.5,89.55,89.05,89.29,11380702
2025-09-14,89.72,90.13,89.37,89.84,6186430
2025-09-15,89.83,93.19,89.31,91.2,17499169
2025-09-16,90.03,91.21,88.71,90.35,14749646
2025-09-17,90.23,90.98,89.79,90.5,10575466
2025-09-18,88.47,88.94,88.09,88.52,2279205
2025-09-19,88.5,89.7,87.29,88.52,14533489
2025-09-20,88.29,88.56,88.09,88.34,7482852
2025-09-21,89.67,89.76,89.26,89.51,14199486
2025-09-22,90.6,91.36,89.97,90.63,6068575
2025-09-23,87.7,89.63,87.16,88.67,10123952
2025-09-24,88.66,89.17,87.67,88.52,13011822
2025-09-25,90.51,91.8,89.49,90.56,3843262
2025-09-26,87.75,89.17,87.59,88.53,19050186
